City,Price,Room Type,Person Capacity,Multiple Rooms,Business,Bedrooms,City Center (km)
Amsterdam,744.4988634499567,Entire home/apt,2.0,0,0,0,2.6780920014537366
Amsterdam,250.74403018301973,Private room,2.0,1,0,1,2.061576554640393
Amsterdam,544.1379795186652,Private room,4.0,1,0,2,1.792237506252496
Amsterdam,424.1557893750147,Entire home/apt,2.0,0,0,1,3.3426480507193443
Amsterdam,675.6028402034074,Entire home/apt,2.0,0,0,1,1.2265998445779276
Amsterdam,909.4743748974762,Entire home/apt,4.0,1,0,2,2.6187094013605834
Amsterdam,264.1014224451058,Private room,2.0,0,0,1,2.85095702392196
Amsterdam,196.6114404893024,Private room,2.0,1,0,1,10.723483252396443
Amsterdam,700.442903006585,Entire home/apt,4.0,0,0,2,4.934493704887129
Amsterdam,307.22002202798024,Private room,2.0,0,0,1,3.816301136112157
Amsterdam,528.2028448902116,Private room,4.0,1,0,1,4.295560862635061
Amsterdam,675.6028402034074,Entire home/apt,2.0,0,0,1,3.3720972916742413
Amsterdam,675.6028402034074,Entire home/apt,4.0,0,0,1,1.960856865325015
Amsterdam,515.7828134886229,Entire home/apt,3.0,0,0,1,3.1412948011878608
Amsterdam,442.66866636983576,Entire home/apt,2.0,0,0,1,1.680914916130399
Amsterdam,596.1615072762637,Entire home/apt,4.0,0,0,3,1.9343923826676208
Amsterdam,920.4883650083192,Entire home/apt,4.0,0,0,3,1.2475451828191395
Amsterdam,718.9557800014061,Entire home/apt,2.0,0,0,1,2.870363252764024
Amsterdam,276.52145384669467,Private room,2.0,1,0,1,7.723053179546973
Amsterdam,988.2126871792468,Entire home/apt,4.0,0,0,3,2.064980564395761
Amsterdam,270.4286082534624,Private room,2.0,1,0,1,2.4735025666746417
Amsterdam,798.6314531436741,Entire home/apt,4.0,1,0,2,0.218366101609283
Amsterdam,3637.6631593747807,Entire home/apt,4.0,0,0,3,0.7242106613067878
Amsterdam,479.4600801443536,Entire home/apt,3.0,0,0,1,2.010016972105639
Amsterdam,934.0800974855296,Entire home/apt,2.0,1,0,1,1.1547535644310036
Amsterdam,639.0457666440138,Entire home/apt,4.0,1,0,2,1.8376328981523096
Amsterdam,1474.9373139924544,Private room,5.0,1,0,2,1.088797787354492
Amsterdam,1020.082956436154,Entire home/apt,4.0,0,0,2,1.388807900683971
Amsterdam,1192.088674337403,Entire home/apt,4.0,0,0,2,0.7110008852626659
Amsterdam,798.6314531436741,Entire home/apt,2.0,0,0,1,3.418305160366661
Amsterdam,854.4044243432617,Entire home/apt,4.0,0,0,3,3.3858261601570585
Amsterdam,614.4400440559605,Private room,2.0,1,0,1,3.6811019022708114
Amsterdam,283.7860005155485,Private room,2.0,0,0,1,1.1876186249041147
Amsterdam,870.105218756591,Entire home/apt,4.0,0,0,3,3.7690531200659865
Amsterdam,180.20762543060016,Private room,2.0,1,0,1,2.196436786257042
Amsterdam,242.07344222342,Private room,2.0,0,0,1,8.283327632149607
Amsterdam,418.0629437817825,Private room,4.0,1,0,1,3.752141559788319
Amsterdam,281.4425983643053,Private room,2.0,0,0,1,2.4074427244730043
Amsterdam,215.12431748412348,Private room,2.0,0,1,1,8.56840750623002
Amsterdam,448.5271717479437,Private room,2.0,1,0,1,1.1011644838435135
Amsterdam,614.4400440559605,Entire home/apt,2.0,0,0,1,2.378975833053337
Amsterdam,279.09919621306216,Private room,2.0,0,1,1,8.568404780360307
Amsterdam,663.6514892320672,Entire home/apt,2.0,0,0,1,3.603560472926401
Amsterdam,279.09919621306216,Private room,2.0,1,0,1,3.018615585902174
Amsterdam,1044.6886790242074,Entire home/apt,2.0,0,0,1,0.7632839134656935
Amsterdam,299.72113514400206,Private room,2.0,1,0,1,4.137211263962653
Amsterdam,405.6429123801936,Entire home/apt,2.0,1,0,1,3.6367767909716906
Amsterdam,2556.183066576056,Entire home/apt,6.0,1,0,3,0.9709188271346144
Amsterdam,985.6349448128794,Entire home/apt,2.0,0,0,1,2.1196232016134884
Amsterdam,1214.116654559089,Entire home/apt,4.0,0,0,0,1.9378488749721643
Amsterdam,305.8139807372343,Private room,4.0,0,0,1,3.7107928910227055
Amsterdam,937.5952007123944,Private room,4.0,0,1,1,1.0057848731195025
Amsterdam,292.45658847514824,Private room,2.0,0,0,1,4.718971513745547
Amsterdam,552.808567478265,Entire home/apt,4.0,1,0,1,4.456138821808169
Amsterdam,1228.880088111921,Entire home/apt,4.0,1,0,2,4.018532276866914
Amsterdam,251.91573125864133,Private room,2.0,0,0,1,2.4303914974794214
Amsterdam,258.2429170669979,Private room,2.0,1,0,1,3.168237065948456
Amsterdam,562.8851967286106,Private room,4.0,0,0,1,0.9580992248851998
Amsterdam,462.1189042251541,Entire home/apt,2.0,0,1,0,0.3714395451909041
Amsterdam,458.369460783165,Entire home/apt,2.0,1,0,1,2.146646791238017
Amsterdam,184.4257493028379,Private room,2.0,0,0,1,3.472098019071252
Amsterdam,780.5872565791016,Entire home/apt,4.0,1,0,2,2.2190485159577604
Amsterdam,228.71604996133388,Private room,2.0,1,0,1,1.258901386091701
Amsterdam,221.45150329248003,Private room,2.0,1,0,1,10.853492735263176
Amsterdam,385.9583343097509,Private room,2.0,1,0,0,0.1613319628315826
Amsterdam,436.3414805614792,Entire home/apt,3.0,0,0,1,3.3127304935792248
Amsterdam,626.3913950273006,Entire home/apt,4.0,1,0,2,2.2645205162247763
Amsterdam,835.8915473484406,Entire home/apt,2.0,0,0,1,1.133040038699657
Amsterdam,833.3138049820731,Entire home/apt,4.0,0,0,2,2.379144746458994
Amsterdam,424.1557893750147,Entire home/apt,2.0,0,0,1,1.590912120846862
Amsterdam,602.254352869496,Entire home/apt,4.0,0,0,1,2.178444728310984
Amsterdam,1425.7258688163477,Entire home/apt,4.0,0,0,2,0.6937770390868382
Amsterdam,737.2343167811028,Entire home/apt,4.0,0,0,3,1.5250661771208915
Amsterdam,397.2066646357181,Entire home/apt,3.0,1,0,1,6.375406380227657
Amsterdam,290.1131863239051,Private room,2.0,0,0,1,2.285602198759076
Amsterdam,221.2171630773557,Private room,2.0,1,0,1,2.4741674013100776
Amsterdam,245.82288566540907,Private room,2.0,1,0,1,6.050694737204826
Amsterdam,196.6114404893024,Private room,2.0,1,0,1,10.453219551947551
Amsterdam,258.0085768518736,Private room,2.0,1,0,1,4.599353594596956
Amsterdam,1413.3058374147588,Private room,4.0,0,0,4,2.5285867094854373
Amsterdam,479.4600801443536,Entire home/apt,2.0,0,0,1,4.774310108806402
Amsterdam,920.4883650083192,Entire home/apt,4.0,0,0,3,1.0502783080107736
Amsterdam,622.876291800436,Entire home/apt,2.0,1,0,1,1.750366502069159
Amsterdam,317.0623110632016,Private room,2.0,1,0,1,0.5932291959302427
Amsterdam,344.2457760176224,Entire home/apt,3.0,1,0,0,5.21296650933706
Amsterdam,409.39235582218265,Entire home/apt,4.0,1,0,2,2.6612728993460566
Amsterdam,282.6142994399269,Private room,2.0,0,0,1,2.1593820479734256
Amsterdam,319.6400534295691,Private room,2.0,0,1,1,0.3940358562606905
Amsterdam,290.1131863239051,Private room,2.0,1,0,1,2.2105463427447107
Amsterdam,381.0371897921403,Private room,2.0,1,0,1,0.7553339649403623
Amsterdam,276.52145384669467,Private room,2.0,1,0,1,5.924732550802987
Amsterdam,811.0514845452628,Entire home/apt,2.0,0,0,1,1.3793400398962383
Amsterdam,1106.320155601903,Entire home/apt,2.0,0,0,1,1.0183806520872525
Amsterdam,435.1697794858576,Entire home/apt,2.0,1,0,1,2.5329930094495627
Amsterdam,381.0371897921403,Private room,2.0,0,0,1,1.2286456559027872
Amsterdam,513.673751552504,Entire home/apt,3.0,0,0,2,3.1050637991936187
Amsterdam,309.7977643943477,Private room,2.0,0,1,1,2.3702088966394856
Amsterdam,516.0171537037471,Entire home/apt,4.0,0,0,2,1.196304903861786
Amsterdam,614.4400440559605,Private room,4.0,0,0,1,1.3701507627213405
Amsterdam,737.2343167811028,Entire home/apt,2.0,0,0,1,2.445875336409064
Amsterdam,685.9138096688773,Entire home/apt,4.0,0,0,2,2.8597924696165715
Amsterdam,823.4715159468517,Entire home/apt,5.0,0,0,2,3.503952091186423
Amsterdam,307.22002202798024,Entire home/apt,2.0,0,0,1,2.8949775310449337
Amsterdam,1997.281653504558,Entire home/apt,6.0,0,0,3,1.5122702295762689
Amsterdam,638.8114264288895,Entire home/apt,2.0,0,0,1,4.026662462247161
Amsterdam,1136.5500433529398,Entire home/apt,4.0,0,0,3,3.1972985934282425
Amsterdam,405.6429123801936,Private room,4.0,0,0,1,11.187100154117871
Amsterdam,400.4874276474586,Private room,2.0,0,1,0,0.8307142280759556
Amsterdam,307.22002202798024,Private room,2.0,1,0,1,2.2387743821770667
Amsterdam,688.0228716049962,Private room,4.0,0,0,2,1.2822467230183203
Amsterdam,648.8880556792352,Entire home/apt,2.0,0,0,1,1.5910392036654406
Amsterdam,331.8257446160336,Entire home/apt,2.0,0,0,0,2.6153792122347443
Amsterdam,420.4063459330256,Entire home/apt,2.0,0,0,0,2.1379533266321595
Amsterdam,774.2600707707451,Entire home/apt,2.0,0,0,1,3.24668560709205
Amsterdam,1126.942094532843,Entire home/apt,4.0,1,0,2,2.88941954285758
Amsterdam,208.7971316757669,Private room,2.0,1,0,1,10.40607716946772
Amsterdam,522.3443395121037,Private room,4.0,0,0,2,2.6965813900665454
Amsterdam,448.5271717479437,Private room,2.0,0,0,1,1.2243296655599034
Amsterdam,204.1103273732805,Private room,2.0,0,0,1,10.898646644844804
Amsterdam,442.66866636983576,Private room,2.0,0,0,1,0.8166865418020203
Amsterdam,325.498558807677,Private room,2.0,1,0,1,3.2543600386540854
Amsterdam,1351.9087010521878,Entire home/apt,4.0,0,0,2,0.6128074572394556
Amsterdam,583.9758160897992,Entire home/apt,4.0,0,0,2,6.805426268752378
Amsterdam,614.4400440559605,Entire home/apt,4.0,0,0,3,4.055558885452375
Amsterdam,279.09919621306216,Private room,4.0,0,0,1,7.297903452296986
Amsterdam,345.1831368781197,Private room,2.0,1,0,1,1.2051762215606054
Amsterdam,245.82288566540907,Private room,4.0,0,0,0,2.86126129098388
Amsterdam,522.3443395121037,Entire home/apt,3.0,0,0,2,9.461193276819836
Amsterdam,303.4705785859912,Private room,4.0,1,0,0,3.8756943705432993
Amsterdam,798.8657933587983,Entire home/apt,5.0,0,1,3,3.816294493436277
Amsterdam,654.9809012724675,Private room,2.0,0,0,1,1.157611864220484
Amsterdam,277.45881470719195,Private room,2.0,1,0,1,4.048209028263254
Amsterdam,498.910317999672,Private room,4.0,1,0,2,3.9197071621384896
Amsterdam,491.64577133081815,Entire home/apt,4.0,0,0,2,3.061593749736752
Amsterdam,442.4343261547114,Private room,2.0,1,0,1,2.0819265631422392
Amsterdam,202.70428608253465,Private room,2.0,1,0,1,8.328174013681252
Amsterdam,258.0085768518736,Shared room,3.0,1,0,1,7.174061152495985
Amsterdam,245.82288566540907,Private room,2.0,1,0,1,3.869383502868556
Amsterdam,669.7443348252995,Entire home/apt,4.0,1,0,2,2.502125234308872
Amsterdam,453.4483162655544,Entire home/apt,2.0,0,1,1,2.946369673139789
Amsterdam,706.5357485998172,Entire home/apt,4.0,1,0,3,2.531798798357753
Amsterdam,1038.361493215851,Entire home/apt,4.0,0,0,2,0.1951980501873343
Amsterdam,2500.8787758067165,Entire home/apt,4.0,0,0,1,1.4292708718377594
Amsterdam,399.5500667869613,Private room,2.0,0,1,0,0.9598558196666732
Amsterdam,407.9863145314368,Private room,2.0,0,1,0,1.731690237097334
Amsterdam,407.9863145314368,Private room,2.0,0,1,0,1.7635668072623376
Amsterdam,319.40571321444475,Private room,2.0,1,0,1,1.1103486515953374
Amsterdam,817.1443301384951,Entire home/apt,4.0,1,0,3,4.193063773512277
Amsterdam,792.7729477655661,Entire home/apt,6.0,0,0,3,6.446611060893965
Amsterdam,274.1780516954515,Private room,2.0,1,0,1,1.1633859680678085
Amsterdam,774.2600707707451,Entire home/apt,2.0,0,0,1,0.345523840742521
Amsterdam,221.2171630773557,Private room,2.0,0,0,1,9.230171256230186
Amsterdam,436.3414805614792,Private room,2.0,0,1,0,1.0920611908615705
Amsterdam,974.6209547020364,Entire home/apt,3.0,0,0,1,1.2238902406353978
Amsterdam,1044.6886790242074,Entire home/apt,5.0,0,0,3,3.5132238825336257
Amsterdam,607.1754973871067,Private room,4.0,1,0,1,1.4250454822872758
Amsterdam,314.4845686968341,Private room,2.0,1,0,1,2.123122113662819
Amsterdam,390.6451386122373,Private room,2.0,1,0,1,1.4250789186884407
Amsterdam,449.6988728235653,Private room,4.0,0,0,1,0.2403669761183767
Amsterdam,181.8480069364704,Private room,2.0,1,0,1,2.7165218008543284
Amsterdam,2458.2288566540906,Entire home/apt,5.0,0,0,3,1.1627614308403376
Amsterdam,410.32971668267993,Entire home/apt,2.0,0,0,1,2.033686640136478
Amsterdam,771.6823284043776,Entire home/apt,2.0,0,0,1,2.670217588988946
Amsterdam,415.2508612002906,Entire home/apt,4.0,0,0,2,7.081052422366315
Amsterdam,577.4142900663184,Entire home/apt,2.0,1,0,1,1.2454901675254375
Amsterdam,531.9522883322007,Entire home/apt,2.0,0,0,1,1.210052845440982
Amsterdam,552.808567478265,Entire home/apt,4.0,0,0,2,6.329190085032534
Amsterdam,1651.864176411314,Entire home/apt,4.0,0,0,3,0.9479501149031376
Amsterdam,282.8486396550512,Entire home/apt,2.0,0,0,1,4.04677392100638
Amsterdam,347.9952194596115,Private room,4.0,0,0,2,7.448076119094492
Amsterdam,485.5529257375859,Entire home/apt,3.0,0,0,2,2.4211262791138632
Amsterdam,436.3414805614792,Private room,2.0,0,0,1,0.7316357598343444
Amsterdam,221.2171630773557,Private room,2.0,1,0,1,2.772629647037306
Amsterdam,460.9472031495325,Entire home/apt,2.0,0,0,1,1.6603169580718946
Amsterdam,552.808567478265,Entire home/apt,4.0,0,0,3,8.149967773654454
Amsterdam,368.8514986056758,Entire home/apt,2.0,0,0,1,6.978908089437527
Amsterdam,209.03147189089125,Private room,2.0,1,0,0,4.629759730730524
Amsterdam,568.9780423218428,Private room,3.0,0,1,0,0.5016413716644758
Amsterdam,1044.6886790242074,Entire home/apt,4.0,0,0,2,1.7381836787487484
Amsterdam,489.30236917957495,Entire home/apt,2.0,1,0,1,0.5314343611142552
Amsterdam,239.7300400721768,Private room,2.0,0,0,1,1.8778904684545863
Amsterdam,734.8909146298597,Entire home/apt,4.0,0,1,2,0.8268636946364731
Amsterdam,274.1780516954515,Private room,2.0,0,0,1,3.169262405932536
Amsterdam,399.5500667869613,Private room,2.0,0,1,1,1.1180016594802644
Amsterdam,337.91859020926586,Private room,3.0,0,0,1,3.042632814959356
Amsterdam,474.0702551964943,Entire home/apt,4.0,0,0,2,7.494987621979645
Amsterdam,534.7643709136926,Entire home/apt,2.0,0,0,1,2.290544365670652
Amsterdam,436.3414805614792,Private room,2.0,0,1,0,0.9823256087976632
Amsterdam,1112.1786609800108,Entire home/apt,4.0,0,0,2,0.9384199597900156
Amsterdam,614.4400440559605,Private room,4.0,0,0,2,0.8689376780218488
Amsterdam,202.70428608253465,Private room,2.0,0,0,1,3.5789888131796745
Amsterdam,430.24863496824696,Entire home/apt,2.0,0,0,1,3.481206790359048
Amsterdam,243.2451432990416,Private room,2.0,1,0,1,7.104815916987718
Amsterdam,277.69315492231624,Private room,2.0,1,0,1,2.759807642732134
Amsterdam,356.4314672040869,Private room,2.0,0,0,1,2.9304498212371377
Amsterdam,555.3863098446325,Private room,3.0,0,0,1,0.3971287274991505
